cmd,time,loc,pref
홍대나 신촌쪽에 괜찮은 파스타 집이 있나요?,점심,홍대,파스타
강남역 근처에 맛있는 삼겹살집 알려줘요.,점심,강남역,삼겹살
오늘은 뭐 먹지?,없음,없음,없음
강남구청역 근처에 점심식사로 괜찮은 맛집 추천해 주세요.,점심,강남구청역,없음
강남역에서 소개팅하기 좋은 맛집 추천해주세요.,없음,강남역,없음
서울이나 경기도 근교 여행지 추천해주세요~,없음,서울 경기도,여행지
서울 근교로 드라이브 갈만한 곳 있나요?,없음,서울,드라이브 코스
왕십리역 근처의 분위기 좋은 카페 알려줘.,없음,왕십리역,분위기 좋은 카페
건대입구역 주변에 혼밥하기 좋은 곳 추천해 주세요.,없음,건대입구역,혼밥
분당 정자동 카페거리 맛집 알려주세요.,없음,정자동 카페거리,없음
압구정로데오나 청담 쪽에 분위기 좋은 카페 있을까요?,없음,압구정로데오,분위기 좋은 카페
서울역에서 기차타고 갈만한 곳 있나요?,없음,서울역,기차여행
강남역 주변에 괜찮은 술집 추천해주세요~!!,저녁,강남역,술 마시기 좋은 장소
강남역 근처에 맛있는 초밥집 알려줘.,없음,강남역,맛있는 초밥집
서울시 종로구 쪽에 괜찮은 한정식집 있나요?,없음,서울시 종로구,한정식
오늘 저녁으로 먹을만한 것좀 추천해줘.,저녁,없음,없음
강남역 근처에서 간단하게 식사할 만한 곳은 어디가 좋을까요?,점심,강남역,간단한 식사
지금 당장 먹을만한거 없나?,없음,없음,없음
강남역에서 가까운 술집 추천해주세요~,저녁,강남역,술
서울에서 가장 맛있는 곱창집은 어디인가요?,없음,없음,곱창
홍대입구역 근처에서 맛있는 피자집을 알려주세요.,없음,홍대입구역,피자
종로에 맛집 좀 알려주세요!,없음,종로,없음
요즘 핫한 수제버거집이 어디인가요?,없음,없음,수제버거 맛집
점심으로 간단하게 먹고 싶은데 어디가 좋을까?,점심,없음,간단한 식사
왕십리역 근처의 괜찮은 카페가 있나요?,없음,왕십리역,카페
건대입구에서 소개팅할만한 장소 있을까요?,없음,건대입구,소개팅
내일 아침으로 뭘 먹을까?,아침,없음,없음
주말에 친구들이랑 놀러갈건데 서울 근교로 여행지 추천해주세요.,없음,서울,없음
부산으로 2박 3일 여행을 가려고 합니다. 숙소는 해운대쪽입니다. 일정 좀 짜주세요.,없음,부산,1일차-2일차-3일차 순으로 코스를 정리하여 보여줌
삼성역 근처 맛있는 중국집 있나요?,점심,삼성역,중국음식
점심으로 뭐 먹을까?,점심,없음,없음
한양대 앞 분위기 좋은 술집 있나요?,저녁,한양대학교,분위기 좋은 술집
홍대에서 여자친구랑 데이트 하기 좋은곳 있나요?,없음,홍대,데이트
강남구청역 근처에 맛집 있나요?,없음,강남구청역,없음
강남역 맛집 알려주세요~,없음,강남역,없음
강남역 근처에 혼밥하기 좋은 곳 좀 알려주세요.,없음,강남역,혼밥
점심으로 먹기 좋은 음식점 추천해주세요.,점심,없음,없음
이태원쪽에 분위기 좋은 레스토랑이나 카페를 알고 싶어요.,없음,이태원,"분위기 좋은 레스토랑, 카페"
지금 뭐 먹지?,점심,없음,없음
강남역 근처에 맛있는 파스타집 추천해주세요.,없음,강남역,맛잇는 파스타집
강남역에서 가까운 곳으로 분위기 좋은 레스토랑 추천해주세요~,점심,강남역,분위기 좋은 레스토랑
강남역 근처에 분위기 좋은 카페 추천해주세요.,없음,강남역,분위기 좋은 카페
오늘 점심은 뭐 먹지?,점심,없음,없음
강남역 주변에 싸고 맛있는 초밥집 없나요?,없음,강남역,싸야함
서울에 분위기 좋은 레스토랑 어디가 좋을까요?,없음,서울,분위기
강남역에서 소개팅 하기 좋은 장소는 어디인가요?,없음,강남역,소개팅
이태원이나 경리단길 쪽에 분위기 좋은 술집 좀 알려줘.,저녁,이태원,분위기 좋은 술집
강남역에서 친구들이랑 놀기로 했는데 맛집 추천해주세요.,없음,강남역,없음
왕십리역 주변에 혼자 밥먹을 만한 곳이 어디있을까요?,점심,왕십리역,혼밥
강남역 주변에 분위기 좋은 레스토랑 추천해줘.,저녁,강남역,분위기 좋은 레스토랑
왕십리 맛집 알려주세요!,없음,왕십리,없음
점심으로 먹기 좋은 음식점 추천해주세요.,점심,없음,없음
친구들과 함께 갈만한 분위기 좋은 레스토랑 추천해주세요.,점심,없음,분위기 좋은 곳
"이번 주말에 친구들이랑 놀러가기로 했는데, 서울 근교에서 갈만한 곳이 어디있을까요?",없음,서울,놀만한 곳
오늘 점심은 뭘 먹을까?,점심,없음,없음
서울 근교로 드라이브 갈건데 분위기 좋은 카페 추천해주세요.,없음,경기도 파주,커피가 맛있는 곳
강남역 근처에 괜찮은 술집 좀 알려줘!,저녁,강남역,괜찮은 술집
서울 근교로 드라이브 갈만한 곳 있을까요?,없음,서울,드라이브
요즘 핫한 맛집이 어디인가요?,없음,없음,없음
홍대입구역 근처에 분위기 좋은 술집 추천해줘!,저녁,홍대입구역,분위기 좋은 술집
강남역에서 소개팅하기 좋은 레스토랑 추천해주세요.,없음,강남역,레스토랑
강남역에서 점심으로 혼밥하기 좋은 식당 추천해주세요.,점심,강남역,혼밥 가능한 곳
건대입구역 근처에서 점심으로 먹기 좋은 식당 알려주세요~,점심,건대입구역,없음
명동 맛집 알려주세요!,없음,명동,없음
내일 저녁은 뭘 먹을까?,저녁,없음,없음
여자친구랑 데이트하는데 오늘은 뭐 먹을까?,점심,홍대입구역,없음
서울에서 맛있는 디저트를 파는 카페는 어디일까요?,없음,없음,디저트
"내일 점심으로 강남역 근처에서 파스타 먹으려고 하는데, 괜찮은 곳 있어?",점심,강남역,파스타
신촌역 근처에 혼밥하기 좋은 식당 알려주세요.,없음,신촌역,혼밥하기 좋은 식당
"이번에 여자친구랑 1주년인데, 분위기 좋은 레스토랑 없을까?",없음,없음,분위기 좋은 레스토랑
홍대입구역 주변에 맛집이 뭐가 있을까요?,점심,홍대입구역,없음
서울의 유명한 맛집 알려주세요.,없음,서울특별시,없음
서울역 근처 맛집 추천해주세요.,없음,서울역,없음
홍대입구역 근처에 가성비 좋은 초밥집 있나요?,없음,홍대입구역,가성비 좋은 초밥집
오늘 저녁은 뭐 먹지?,없음,서울,없음
강남역 맛집 알려주세요!,없음,강남역,없음
서울에서 가장 유명한 음식점이 어디야?,없음,서울,제일 유명한 식당
강남역 근처에서 소개팅하기 좋은 레스토랑 추천해주세요!,없음,강남역,"소개팅, 분위기"
홍대입구역 근처에 혼자서 술 마실 만한 곳 있나요?,저녁,홍대입구역,혼술
강남역에서 소개팅할 건데 분위기 좋고 맛있는 레스토랑 추천해줘.,없음,강남역,없음
강남역 주변에 분위기 좋은 레스토랑 추천해주세요.,없음,강남역,레스토랑
서울역 주변에 괜찮은 레스토랑 있나요?,없음,서울역,없음
이태원에서 점심을 먹을 수 있는 브런치 맛집 추천해주세요.,점심,이태원,브런치
강남역에 분위기 좋은 술집 알려주세요!,저녁,강남역,분위기 좋은 술집
강남역 근처의 분위기 좋은 레스토랑 추천해 주세요.,점심,강남역,분위기 좋은 레스토랑
강남역 주변에 괜찮은 술집 좀 알려줘.,저녁,강남역,분위기 좋은 술집
홍대입구역 근처의 저렴한 술집 알려줘.,저녁,홍대입구역,저렴
부산에 놀러왔는데 회를 먹으려고 합니다. 어디가 좋을까요?,없음,부산,회
성수역 주변에 분위기 좋은 카페가 있을까요?,없음,성수역,분위기 좋은 카페
신사동 가로수길 카페 추천 좀 해주세요~,없음,신사동 가로수길,카페
홍대입구역 근처에 분위기 좋은 술집 있나요?,저녁,홍대입구역,분위기 좋은 술집
강남구청역 근처에 맛집 좀 알려주세요~,없음,강남구청역,없음
오늘 저녁 뭐먹지?,없음,없음,없음
강남역에서 소개팅하기 좋은 레스토랑 있을까요?,없음,강남역,소개팅 장소
오늘 저녁 메뉴로 뭘 먹으면 좋을까요?,없음,없음,없음
오늘 점심은 뭘 먹을까요?,없음,없음,없음
홍대입구역 근처에 괜찮은 이자카야 있나요?,없음,홍대입구역,이자카야
강남역 근처에 맛있는 초밥집 있나요?,없음,강남역,맛있는 초밥집
이태원동 주변에 혼밥하기 좋은 식당 알려줘.,없음,이태원동,혼밥
강남역 주변에서 소개팅할만한 장소 있을까요?,없음,강남역,소개팅
가로수길 카페 중 분위기 좋고 조용한 곳 추천해주세요.,없음,가로수길,조용함
건대쪽에 맛있는 중국집 있어?,없음,건대근처,중국집
이번주 주말에 친구들이랑 놀러갈건데 서울 근교로 갈만한 곳 있나요?,없음,서울,없음
강남에서 제일 맛있는 고깃집 추천 좀 해주세요!,없음,강남,고기
강남구청역 근처에 맛있는 브런치 집 있나요?,없음,강남구청역,브런치
강남역 근처의 맛있는 곱창집 알려주세요!,없음,강남역,곱창
집에서 간단히 해먹을 수 있는 요리 레시피 좀 알려주세요.,없음,없음,간단한 요리 레시피
점심 뭐 먹지?,점심,없음,없음
서울 근교로 놀러갈 만한 곳 있나요?,없음,서울,여행지
강남역 근처에 맛있는 고깃집 좀 알려주세요~,없음,강남역,고기
홍대입구역 근처에 가성비 좋은 초밥집 있나요?,없음,홍대입구역,가성비 좋은 초밥집
건대 근처 맛집 좀 알려주세요!,없음,건대입구역,없음
점심에 뭐 먹지?,점심,없음,없음
오늘 저녁 메뉴는 무엇인가요?,저녁,없음,없음
서울 근교에 드라이브 할 만한 곳 추천해주세요.,없음,서울,드라이브
압구정로데오에 분위기 좋은 술집 알려주세요~,저녁,압구정로데오,술집
여기서 가까운 식당이 어디야?,없음,없음,없음
부산 여행지 추천해주세요.,없음,부산,없음
지금 어디야?,없음,없음,위치 정보
서울에서 제일 맛있는 라멘집은 어디인가요?,없음,서울,라멘
제주도에서 맛있는 횟집 좀 추천해주세요.,없음,제주도,횟집
홍대에서 저녁으로 먹을 만한 거 추천해주세요!,저녁,홍대,없음
강남역 주변에 혼밥하기 좋은 곳 있나요?,없음,강남역,혼밥
건대입구역 근처에서 점심먹을만한 곳 있을까요?,없음,건대입구역,없음
홍대입구역 근처에 데이트하기 좋은 카페 있나요?,없음,홍대입구역,데이트하기 좋은 카페
홍대에 줄서서 먹는 떡볶이집 이름이 뭐였지?,없음,홍대,줄서서 먹는 떡볶이집
제가 원하는 조건에 맞는 장소를 찾아주세요.,없음,없음,없음
홍대입구역 근처에 분위기 좋은 카페 추천해주세요~,없음,홍대입구역,카페
맛있는 치킨집을 찾고 있어요.,저녁,없음,치킨집
이태원에서 혼밥할만한곳있나요?,없음,이태원,혼밥 가능한 곳
홍대에 분위기 좋은 카페 있나요?,없음,홍대,분위기 좋은 카페
강남역에서 데이트하기 좋은 곳 있을까요?,없음,강남역,데이트 장소
한양대 근처 매란방이랑 금룡말고 맛있는 짜장면집 있나요?,없음,한양대,중국집
점심으로 먹기 좋은 메뉴 추천해주세요.,점심,없음,없음
가로수길에서 소개팅할건데 괜찮은 장소 있을까요?,없음,신사동 가로수길,소개팅
오늘 뭐 먹지?,없음,없음,없음
홍대입구역 주변에 점심으로 먹기 좋은 곳 추천해주세요.,없음,홍대입구역,없음
오늘 저녁에 친구들이랑 갈만한 맛집을 찾아줘.,저녁,서울,"회식, 모임 장소"
요즘 핫한 클럽을 추천해주세요.,없음,없음,클럽
오늘 점심은 뭘 먹을까요?,없음,없음,없음
강남역 근처에 분위기 좋은 카페 있나요?,없음,강남역,분위기 좋은 카페
강남역 근처에 괜찮은 식당 좀 알려주세요.,없음,강남역,없음
홍대입구역 근처 조용하고 예쁜 카페 추천해주세요.,없음,홍대입구역,조용한 카페
홍대입구역 근처에 분위기 좋은 카페 있나요?,없음,홍대입구역,분위기 좋은 카페
서울 근교에 드라이브 갈 만한 곳이 있을까요?,없음,서울,드라이브
강남역 근처에 있는 고깃집 중에 가장 가성비가 좋은 곳은 어디인가요?,저녁,강남역,가성비 고깃집
강남구청역 근처에 혼밥하기 좋은 식당이 있나요?,없음,강남구청역,혼밥
부산 서면쪽에 맛있는 파스타집 있나요?,없음,부산 서면,파스타
저녁으로 뭘 먹으면 좋을까요?,저녁,없음,없음
홍대입구역 근처에 혼밥하기 좋은 식당이 있을까요?,없음,홍대입구역,혼밥
강남역 주변의 가성비 좋은 식당 알려주세요.,없음,강남역,가성비
강남역 근처에서 혼밥하기 좋은곳 있나요?,없음,강남역,혼밥
강남역 근처에서 소개팅할 만한 장소 좀 추천해주세요.,없음,강남역,소개팅 할 만한 장소
"홍대, 합정, 상수 쪽에 분위기 좋은 레스토랑이 있나요?",없음,홍,레스토랑
강남역이나 역삼역 주변에 혼밥하기 좋은 식당 있나요?,없음,강남역,혼밥
강남역에서 가까운 분위기 좋은 카페 알려주세요!,점심,강남역,분위기 좋은 카페
강남역 주변에 괜찮은 술집 있나요?,저녁,강남역,술집
서울에서 제일 맛있는 족발집은 어디인가요?,없음,서울,가장 맛있는 족발집
강남역 주변의 맛집을 알려주세요.,없음,강남역,없음
가성비 좋은 스테이크 집 있나요?,점심,강남역,가성비 좋은 스테이크
강남역 근처 맛집 알려줘!,없음,강남역,없음
요즘 유행하는 맛집이 어디야?,없음,없음,없음
강남역 주변의 한식집 추천해주세요.,없음,강남역,한식
강남역 주변에 괜찮은 술집 좀 알려주세요.,저녁,강남역,괜찮은 술집
제주도 여행가는데 가볼만한 곳 있나요?,없음,제주도,관광지
"강남역에서 점심을 먹으려고 하는데, 괜찮은 곳이 있을까요?",없음,강남역,없음
친구들과 함께 갈만한 분위기 좋은 식당 알려주세요.,점심,강남역,분위기 좋은 곳
역삼역 근처에 혼밥하기 좋은 식당 있나요?,없음,역삼역,혼밥
점심에 먹기 좋은 음식점 알려주세요.,점심,없음,없음
홍대에서 소개팅할만한 장소를 추천해주세요.,없음,홍대입구역,소개팅하기 좋은 곳
강남역에서 분위기 좋고 맛있는 파스타집 있나요?,점심,강남역,분위기 좋고 맛있는 파스타집
강남역 근처에 맛있는 고깃집 좀 알려줘!,없음,강남역,고기
점심으로 먹기 좋은 음식점을 추천해주세요.,점심,없음,없음
오늘 저녁 뭐 먹지?,없음,없음,저녁 메뉴
강남역 근처에 맛있는 피자집이 있나요?,없음,강남역,맛있는 피자집
서울 근교로 드라이브 할 만한 곳 있나요?,없음,서울,드라이브
강남역에서 가까운 분위기 좋은 레스토랑 추천해줘.,점심,강남역,분위기 좋은 레스토랑
종로3가 주변에 맛집 좀 알려주세요~,없음,종로3가,없음
홍대에서 친구랑 밥 먹을건데 어디가 좋을까요?,점심,홍대,없음
홍대입구역 근처 혼밥할 만한 곳 알려주세요!,없음,홍대입구역,혼밥 가능한 식당
요즘 핫한 맛집을 알려주세요.,없음,없음,없음
서울에서 데이트하기 좋은 장소 추천해주세요.,없음,서울,데이트 코스
강남역 근처에 분위기 좋은 레스토랑 있나요?,저녁,강남역,분위기 좋은 레스토랑
강남역 근처에 분위기 좋고 맛도 좋은 레스토랑을 알고 싶어요.,저녁,강남역,"분위기, 맛"
강남구청역 주변에 점심 먹을만한 곳 있나요?,없음,강남구청역,없음
강남역 주변 맛집 알려주세요.,점심,강남역,없음
강남역 근처에서 소개팅하기 좋은 곳은 어딜까요?,없음,강남역,소개팅 장소
건대입구 쪽에 있는 맛있는 라멘집 알려주세요!,없음,건대입구 역,맛있는 라멘집
오늘 저녁은 뭘 먹을까요?,없음,없음,없음
강남역 근처에 괜찮은 술집 있나요?,저녁,강남역,괜찮은 술집
여기서 가장 가까운 지하철역이 어디야?,없음,없음,역
제주도 여행 중인데 흑돼지를 맛있게 하는 집 좀 알려주세요.,없음,제주도,흑돼지
왕십리역 근처에 점심으로 먹기 좋은 맛집 추천해주세요!,없음,왕십리역,없음
수원 인계동 나혜석거리 쪽에 괜찮은 카페 있나요?,없음,나혜석거리,카페
강남역 근처에서 소개팅하기 좋은 레스토랑 있나요?,저녁,강남역,소개팅 하기 좋은 레스토랑
강남역근처로 점심먹을만한곳 추천해주세요!,없음,강남역,없음
성수동 카페 추천해줘.,없음,성수동,카페
부산 해운대구 우동 마린시티쪽 횟집 추천해주세요.,없음,마린시티,횟집
오늘 저녁은 뭐 먹지?,저녁,없음,없음
서울에 분위기 좋은 레스토랑이 어디인가요?,없음,서울,레스토랑
친구랑 같이 가기 좋은 강남 맛집 추천해주세요!,없음,강남,없음
주변에 괜찮은 술집 있어?,저녁,없음,술집
이번 주말에 친구들이랑 놀건데 어디가 좋을까?,없음,없음,없음
내일 점심은 뭐 먹지?,없음,없음,없음
강남역에서 가까운 삼겹살 집 좀 알려줄래?,저녁,강남역,삼겹살을 파는 곳
서울 시내의 분위기 좋은 레스토랑 추천해주세요.,점심,서울 시내,분위기 좋은 레스토랑
내일 점심은 뭐 먹지?,점심,없음,없음
강남역 주변에 맛있는 중국집이 어디인가요?,점심,강남역,중국음식점
지금 시간대에 먹을만한 거 추천해줘.,없음,없음,없음
강남역근처 분위기 좋은 술집 추천해주세요!,저녁,강남역,분위기 좋은 술집
이태원이나 경리단길 쪽에 분위기 좋은 레스토랑 추천해주세요.,없음,이태원,분위기 좋은 레스토랑
서울 근교로 놀러갈만한 곳 어디있을까요?,없음,서울,나들이
서울대학교 학생들이 많이 가는 식당은 어디인가요?,점심,서울대입구역,대학생들의 입맛
이번 주말에 친구들과 같이 가기 좋은 음식점 알려줘.,없음,서울,친구들과 함께 가기 좋은 곳
건대입구 주변으로 맛있는 음식점 좀 알려주세요!,없음,건대입구,맛있음
강남역 주변에 맛있는 곱창집 알려주세요.,없음,강남역,맛있는 곱창집
한양대 주변에 괜찮은 식당 있나요?,없음,한양대학교,없음
강남역 근처에 분위기 좋은 술집 추천해주세요!,저녁,강남역,분위기 좋은 술집
서울에 위치한 괜찮은 레스토랑을 알려주세요.,없음,서울,괜찮은 레스토랑
홍대에서 분위기 좋은 술집 좀 알려주세요.,저녁,홍대,분위기 좋은 술집
가로수길 데이트 코스 추천해줘.,없음,가로수길,데이트 코스
건대입구역 주변 분위기 좋은 술집 추천해주세요~,저녁,건대입구역,분위기 좋은 술집
오늘 저녁은 뭘 먹을까요?,없음,없음,없음
건대입구 쪽에 괜찮은 술집이나 고깃집 있으면 추천 좀 해주세요~,저녁,건대입구,"술집, 고깃집"
여기서 제일 비싼 메뉴로 주세요.,없음,없음,없음
서울에서 괜찮은 스시집 좀 알려줘~,없음,서울,스시
신사동 가로수길 맛집 좀 알려주세요.,없음,신사동 가로수길,없음
서울에서 혼자 술먹기 좋은 곳 있을까요?,없음,서울,혼술
신촌 쪽에 가성비 좋은 초밥집 있나요?,없음,신촌,가성비 좋은 초밥집
한양대 주변 카페 추천해주세요!,없음,한양대학교,카페
"친구랑 둘이 먹을건데, 가성비 좋고 맛있는 집 추천해주세요.",없음,서울 전역,2인분 기준으로 맛있고 저렴한 곳
강남역 주변 맛집을 알고 싶어요.,저녁,강남역,없음
한식으로 괜찮은 곳이 있을까요?,없음,없음,한식
오늘 점심 뭐먹지?,없음,없음,없음
홍대 근처 가성비 좋은 스테이크집 있나요?,점심,홍대,가성비 좋은 스테이크
강남역 주변에 분위기 좋은 카페를 찾아줘.,없음,강남역,분위기 좋은 카페
나 지금 배고픈데 뭐 먹지?,점심,없음,없음
가로수길에서 소개팅하기 좋은 레스토랑 추천해주세요.,저녁,가로수길,소개팅
내가 좋아하는 사람과 함께 갈만한 분위기 좋은 식당 알려줘.,저녁,없음,분위기 좋은 곳
강남역 근처에서 소개팅하기 좋은 레스토랑을 추천해주세요.,없음,강남역,소개팅 장소
강남역 주변에서 소개팅하기 좋은 레스토랑을 추천해주세요.,없음,강남역,소개팅 장소
강남역 주변에 혼밥할 만한 곳 있나요?,없음,강남역,혼밥
서울 근교의 분위기 좋은 카페를 추천해주세요.,없음,서울,분위기 좋은 카페
제주도 여행가는데 맛집 추천 좀 해주세요!,없음,제주도,없음
서울 근교로 드라이브하기 좋은 곳은 어디일까요?,없음,서울,드라이브
이태원이나 한남동 쪽에 브런치 잘하는 곳이 어디인가요?,아침,이태원,브런치
다음주 월요일 저녁 7시에 서울역 앞에서 만나요!,저녁,서울역,만남
서울에서 맛있는 중국집 알려주세요.,없음,서울,중국집
강남역 주변으로 맛있는 파스타집 있나요?,없음,강남역,파스타
서울 근교 드라이브 코스 추천해주세요.,없음,경기도,없음
"강남에서 모임이 있는데, 어디가 좋을까요?",없음,강남,모임장소
주말에 갈만한 곳을 추천해주세요.,없음,서울,여행지
성수동 카페 어디가 좋아?,없음,성수동,분위기 좋은 카페
강남에서 분위기 좋은 레스토랑을 추천해주세요.,없음,강남,분위기 좋은 레스토랑
건대 주변에서 괜찮은 초밥집은 어디인가요?,없음,건대입구역,초밥
강남역 근처에 분위기 좋은 카페가 있나요?,없음,강남역,분위기 좋은 카페
서울시청 근처 혼밥하기 좋은 곳 알려주세요.,없음,서울시청,혼밥
강남구청역 주변 맛집 알려주세요~,없음,강남구청역,없음
강남역 주변에서 점심 식사로 먹기 좋은 곳 알려줘.,없음,강남역,없음
강남역 주변에 괜찮은 술집 있나요?,저녁,강남역,술집
서울역 근처 괜찮은 레스토랑 있을까요?,없음,서울역,레스토랑
홍대입구역 근처에 맛있는 디저트 가게 알려줘.,없음,홍대입구역,맛있는 디저트
서울에서 분위기 좋은 카페나 술집 알려주세요~,저녁,서울,분위기 좋은 곳
강남역 주변에 갈만한 카페 있나요?,없음,강남역,카페
광화문에 있는 괜찮은 카페 추천해주세요.,없음,광화문,분위기 좋고 커피 맛이 좋은 곳
강남역 근처에 맛있는 파스타집 추천해주세요.,없음,강남역,파스타
오늘 점심 뭐먹지?,없음,없음,없음
오늘 저녁은 뭘 먹을까나~,없음,없음,없음
홍대입구역 근처 혼밥하기 좋은 식당 추천해주세요.,점심,홍대입구역,혼밥하기 좋은 식당
"강남역에서 저녁 먹을 건데, 어디가 좋을까요?",저녁,강남역,없음
여기서 가장 가까운 지하철역은 어디인가요?,없음,없음,역
저녁메뉴로 뭐가 좋을까요?,저녁,서울,메뉴추천
"이번 주말에 친구들이랑 놀러갈건데, 어디가 좋을까?",없음,서울,1박 2일 코스
건대입구역에서 가까운 술집 추천해주세요!,저녁,건대입구역,술집
강남역 주변 맛집 추천해줘.,없음,강남역,없음
홍대입구역 주변에 분위기 좋고 조용한 카페 있나요?,없음,홍대입구역,분위기 좋고 조용한 카페
왕십리에서 분위기 괜찮은 술집이 어디있을까요?,저녁,왕십리역,술집
서울에서 가장 맛있는 빵집은 어디인가요?,없음,서울 전역,빵이 맛있는 곳
홍대입구역 주변에 혼밥하기 좋은 식당 있나요?,없음,홍대입구역,혼밥하기 좋은 식당
서울에 분위기 좋은 레스토랑 추천해주세요.,없음,서울,분위기
서울 근교 드라이브 하기 좋은 곳 알려주세요.,없음,서울,드라이브
오늘 저녁은 뭐 먹지?,저녁,없음,모름
홍대입구역 근처의 괜찮은 카페를 알려주세요.,없음,홍대입구역,괜찮은 카페
이태원 쪽에 분위기 좋은 술집이 있나요?,저녁,이태원동,분위기 좋은 술집
강남역에서 점심먹을건데 맛집 추천해주세요!,점심,강남역,없음
홍대입구역 근처에 분위기 좋은 카페 있나요?,없음,홍대입구역,분위기 좋은 카페
강남역에서 데이트할만한 장소 있나요?,없음,강남역,데이트 코스
요즘은 어떤 옷이 유행인가요?,없음,없음,패션 트렌드
인천공항에서 제일 가까운 호텔이 어디인가요?,없음,인천공항,공항 근처의 호텔
제주도 여행 중인데 흑돼지가 먹고 싶어요. 현지인이 많이 가는 곳 알려주세요.,없음,제주도,흑돼지
서울 근교로 당일치기 여행갈만한 곳 추천해주세요.,없음,서울,당일치기 여행지
혹시 여기서 가까운 편의점이 어디야?,없음,없음,없음
한양대 주변 괜찮은 식당 있나요?,없음,한양대학교,없음
부산에서 서울로 놀러가는데 가볼만한 곳 있을까요?,없음,서울,가볼만한 곳
강남역 근처에 분위기 좋은 레스토랑 좀 알려주세요.,없음,강남역,분위기 좋은 레스토랑
역삼역 근처에 점심으로 먹기 좋은 밥집이 있나요?,점심,역삼역,밥집
혹시 강남역 주변에 괜찮은 술집 있나요?,저녁,강남역,분위기 좋은 술집
홍대입구역 근처에 혼밥하기 좋은 식당이 있을까요?,없음,홍대입구역,혼밥하기 좋은 식당
내일 점심으로 먹을만한 것 좀 추천해줄래?,점심,서울 강남구,없음
강원도 속초여행 계획중인데 가볼만한곳 추천해주세요.,없음,강원도 속초,없음
오늘 저녁은 뭘 먹을까?,없음,없음,없음
홍대입구역 근처 분위기 좋은 카페 있나요?,없음,홍대입구역,분위기 좋은 카페
점심 메뉴 추천해주세요.,점심,없음,없음
여기서 가장 가까운 편의점이 어디야?,없음,없음,편의점
홍대에서 가성비 좋은 술집을 추천해주세요.,저녁,홍대,술집
강남역 근처에 맛있는 곳 있나요?,없음,강남역,없음
"요즘 날씨가 너무 추워져서 따뜻한 국물이 땡기는데, 서울에서 갈만한 샤브샤브 가게 알려주세요.",점심,서울,샤브샤브
강남역 주변에 회식할만한 고기집 있나요?,없음,강남역,회식장소
요즘 뜨는 핫플레이스가 어디야?,없음,없음,없음
강남역 주변에 괜찮은 초밥집 있나요?,없음,강남역,초밥
왕십리에서 가장 가까운 백화점이 어디야?,없음,왕십리,백화점
지금 이 시간대에 갈만한 곳이 어디있을까요?,없음,가로수길,현재 위치를 기반으로 한 장소 검색
한양대역이나 왕십리역 근처에 혼밥하기 좋은 식당이 있나요?,없음,한양대역,혼밥 가능한 식당
강남역 주변에 분위기 좋은 레스토랑 있나요?,없음,강남역,분위기 좋은 레스토랑
오늘 저녁 메뉴는 뭔가요?,없음,없음,없음
이태원의 분위기 좋은 레스토랑 좀 추천해주세요.,점심,이태원,분위기 좋은 레스토랑
여의도 공원 주변에 괜찮은 술집 있나요?,저녁,여의도 공원,술집
홍대에서 맛있는 라멘집 있나요?,없음,홍대,라멘
강남역에서 소개팅 하기 좋은 장소 좀 알려주세요.,없음,강남역,소개팅
홍대입구역 주변 괜찮은 술집 좀 알려줘!,저녁,홍대입구역,좋은 술집
"지금 강남역인데, 점심으로 뭘 먹어야 할지 모르겠어요.",없음,강남역,없음
신림동 순대타운은 어디가 맛있나요?,없음,신림동,순대타운
서울시청 근처에 맛있는 중국집이 어디있나요?,없음,서울시청,중국집
강남역 근처에서 데이트하기 좋은 곳을 알려주세요.,없음,강남역,데이트
"건대입구쪽으로 양꼬치 먹으러 가려고 하는데, 괜찮은 집 있을까요?",없음,건대입구,양꼬치
강남역 주변에 괜찮은 스시집이 어디인가요?,없음,강남역,스시
강남역 맛집 알려주세요~,없음,강남역,없음
강남역 주변 맛집 알려주세요.,없음,강남역,없음
강남역 주변에 회식할만한 장소 추천해주세요.,없음,강남역,회식장소
강남역 근처에 괜찮은 술집 있나요?,저녁,강남역,괜찮은 술집
강남역 주변에서 가볍게 맥주한잔 하고 싶은데 어디가 좋을까요?,없음,강남역,가벼운 술자리
강남역 주변에 맛집 좀 알려주세요~,없음,강남역,없음
강남역 주변 맛집 추천해주세요!,없음,강남역,없음
홍대입구역 근처에 분위기 좋은 레스토랑 좀 소개해주세요.,없음,홍대입구역,분위기 좋은 레스토랑
강남역에서 데이트하기 좋은곳좀 알려주세요!,없음,강남역,데이트코스
제주도 여행코스 추천해주세요.,없음,제주도,없음
강남역 주변에 분위기 좋은 레스토랑을 찾고 있어요. 추천해주세요.,저녁,강남역,레스토랑
"제가 지금 배가 너무 고픈데, 맛있는 식당 좀 알려주세요.",점심,없음,없음
강남역에서 밥먹을건데 뭐가 맛있어?,점심,강남역,맛잇는 것
서울 근교 드라이브 코스 추천해주세요!,없음,서울,드라이브
서울역 근처에 맛집 있나요?,없음,서울역,없음
홍대입구역 근처에서 혼밥하기 좋은 곳 알려주세요!,없음,홍대입구역,혼밥 가능한 식당
홍대입구역 부근으로 분위기 좋은 술집 추천 부탁드려요!,저녁,홍대입구역,분위기 좋은 술집
사당역 주변으로 괜찮은 술집 있나요?,저녁,사당역,안주가 맛있는 술집
